날짜,시간,카테고리,사용처,금액,카드종류,내용
2026-03-29,15:20,식비,카페라떼,5000,신용카드,점심 후 커피
2026-03-29,19:10,쇼핑,온라인의류몰,45000,체크카드,셔츠 구매
2026-03-28,09:30,교통,버스,1400,신용카드,출근 버스
2026-03-28,12:45,식비,김밥천국,7000,체크카드,점심 식사
2026-03-27,21:05,문화생활,넷플릭스,15000,신용카드,월간 구독
2026-03-27,16:55,식비,베이커리,8500,신용카드,간식 구매
2026-03-26,07:00,교통,택시,12000,신용카드,급한 출근
2026-03-26,13:20,쇼핑,문구점,12000,체크카드,사무용품 구매
2026-03-25,18:40,식비,이마트,78000,신용카드,주말 장보기
2026-03-25,20:00,문화생활,영화관,15000,체크카드,영화 관람
2026-03-24,10:10,통신,SKT,55000,신용카드,휴대폰 요금
2026-03-24,14:00,식비,패스트푸드,9000,체크카드,햄버거 세트
2026-03-23,17:30,교통,지하철,1350,신용카드,퇴근 지하철
2026-03-23,19:40,식비,고깃집,60000,신용카드,저녁 회식
2026-03-22,11:15,기타,세탁소,7000,체크카드,드라이클리닝
2026-03-22,15:00,쇼핑,다이소,10000,신용카드,생활용품 구매
2026-03-21,08:30,교통,버스,1400,체크카드,출근 버스
2026-03-21,12:10,식비,백반집,8000,신용카드,점심 백반
2026-03-20,19:50,문화생활,도서관,0,체크카드,도서 대출 (무료)
2026-03-20,22:00,식비,치킨집,25000,신용카드,야식 치킨
2026-03-19,09:00,교통,주유소,50000,신용카드,차량 주유
2026-03-19,13:10,쇼핑,올리브영,18000,체크카드,화장품 구매
2026-03-18,17:00,식비,카페,4500,신용카드,퇴근길 커피
2026-03-18,20:30,기타,헬스장,30000,체크카드,월 회비
2026-03-17,08:45,교통,버스,1400,신용카드,출근 버스
2026-03-17,12:00,식비,구내식당,6000,체크카드,점심 식사
2026-03-16,19:00,문화생활,콘서트,80000,신용카드,콘서트 관람
2026-03-16,22:00,식비,편의점,3000,체크카드,음료수 구매
2026-03-15,09:15,쇼핑,백화점,120000,신용카드,옷 구매
2026-03-15,14:00,기타,병원,25000,체크카드,진료비
2026-03-14,07:30,교통,지하철,1350,신용카드,출근 지하철
2026-03-14,12:30,식비,파스타집,15000,체크카드,점심 파스타
2026-03-13,20:00,식비,피자헛,30000,신용카드,저녁 피자
2026-03-13,22:00,문화생활,PC방,5000,체크카드,게임
2026-03-12,11:00,쇼핑,서점,22000,신용카드,도서 구매
2026-03-12,16:00,기타,미용실,40000,체크카드,헤어컷
2026-03-11,08:00,교통,버스,1400,신용카드,출근 버스
2026-03-11,12:00,식비,국밥집,9000,체크카드,점심 국밥
2026-03-10,19:30,식비,홈플러스,65000,신용카드,식료품 구매
2026-03-10,21:00,문화생활,스트리밍서비스,11000,체크카드,월간 구독
2026-03-09,10:00,통신,KT,60000,신용카드,인터넷 요금
2026-03-09,14:00,식비,카페,6000,체크카드,브런치
2026-03-08,07:45,교통,택시,9000,신용카드,출근 택시
2026-03-08,12:30,식비,레스토랑,40000,체크카드,특별한 점심
2026-03-07,18:00,기타,마트,20000,신용카드,생필품 구매
2026-03-07,20:00,쇼핑,편의점,4000,체크카드,간단한 구매
2026-03-06,08:15,교통,지하철,1350,신용카드,출근 지하철
2026-03-06,12:15,식비,분식집,6500,체크카드,점심 분식
2026-03-05,19:00,문화생활,미술관,10000,신용카드,전시 관람
2026-03-05,21:00,식비,배달앱,20000,체크카드,야식 배달
2026-03-04,10:30,쇼핑,잡화점,15000,신용카드,소품 구매
2026-03-04,15:00,기타,세금납부,50000,체크카드,지방세
2026-03-03,07:00,교통,버스,1400,신용카드,출근 버스
2026-03-03,12:00,식비,샌드위치,7500,체크카드,점심 샌드위치
2026-03-02,19:00,식비,횟집,80000,신용카드,저녁 외식
2026-03-02,21:30,문화생활,콘서트,70000,체크카드,공연 관람
2026-03-01,10:00,쇼핑,전자제품,200000,신용카드,이어폰 구매
2026-03-01,15:00,기타,주차요금,5000,체크카드,주차장 이용
2026-02-29,08:30,교통,지하철,1350,신용카드,출근 지하철
2026-02-29,12:40,식비,부대찌개,10000,체크카드,점심 부대찌개
2026-02-28,19:20,식비,레스토랑,55000,신용카드,기념일 저녁
2026-02-28,21:00,문화생활,뮤지컬,100000,체크카드,뮤지컬 관람
2026-02-27,11:00,쇼핑,온라인서점,28000,신용카드,자기계발서 구매
2026-02-27,16:30,기타,꽃집,20000,체크카드,꽃 구매
2026-02-26,07:15,교통,버스,1400,신용카드,출근 버스
2026-02-26,12:10,식비,돈까스,12000,체크카드,점심 돈까스
2026-02-25,18:00,식비,떡볶이,10000,신용카드,간식 떡볶이
2026-02-25,20:30,문화생활,보드게임카페,15000,체크카드,친구들과 모임
2026-02-24,09:00,통신,LG U+,50000,신용카드,집 전화 요금
2026-02-24,14:30,식비,커피전문점,6000,체크카드,미팅 커피
2026-02-23,08:50,교통,택시,8000,신용카드,지각할 뻔
2026-02-23,12:50,식비,초밥집,18000,체크카드,점심 초밥
2026-02-22,17:00,쇼핑,H&M,30000,신용카드,티셔츠 구매
2026-02-22,19:00,기타,보험료,100000,체크카드,자동차 보험
2026-02-21,08:00,교통,지하철,1350,신용카드,출근 지하철
2026-02-21,12:00,식비,중국집,9000,체크카드,점심 자장면
2026-02-20,19:30,문화생활,전시회,12000,신용카드,사진 전시회
2026-02-20,21:00,식비,편의점,5000,체크카드,간단한 야식
2026-02-19,10:00,교통,주유소,40000,신용카드,차량 주유
2026-02-19,15:00,쇼핑,전자상가,70000,체크카드,마우스 구매
2026-02-18,17:00,식비,빵집,6000,신용카드,퇴근길 빵
2026-02-18,20:00,기타,주차요금,3000,체크카드,마트 주차
2026-02-17,08:15,교통,버스,1400,신용카드,출근 버스
2026-02-17,12:30,식비,샌드위치,7000,체크카드,점심 샌드위치
2026-02-16,19:00,식비,패밀리레스토랑,60000,신용카드,가족 외식
2026-02-16,21:00,문화생활,카페,10000,체크카드,대화
2026-02-15,10:00,쇼핑,온라인서점,30000,신용카드,베스트셀러 구매
2026-02-15,14:00,기타,택배비,3500,체크카드,택배 발송
2026-02-14,07:30,교통,지하철,1350,신용카드,출근 지하철
2026-02-14,12:30,식비,카레집,9500,체크카드,점심 카레
2026-02-13,20:00,식비,회전초밥,28000,신용카드,저녁 초밥
2026-02-13,22:00,문화생활,게임,20000,체크카드,온라인 게임 구매
2026-02-12,11:00,쇼핑,화장품,50000,신용카드,선물 구매
2026-02-12,16:00,기타,주유소,30000,체크카드,차량 주유
2026-02-11,08:00,교통,버스,1400,신용카드,출근 버스
2026-02-11,12:00,식비,한식뷔페,11000,체크카드,점심 뷔페
2026-02-10,19:30,식비,마트,40000,신용카드,간단한 장보기
2026-02-10,21:00,문화생활,영화스트리밍,10000,체크카드,영화 시청
2026-02-09,10:00,통신,LGU+,55000,신용카드,인터넷 요금
2026-02-09,14:00,식비,카페,5000,체크카드,친구와 만남
2026-02-08,07:45,교통,택시,7000,신용카드,출근 택시
2026-02-08,12:30,식비,분식집,8000,체크카드,점심 분식
2026-02-07,18:00,쇼핑,옷가게,80000,신용카드,코트 구매
2026-02-07,20:00,기타,세탁소,10000,체크카드,이불 세탁
2026-02-06,08:15,교통,지하철,1350,신용카드,출근 지하철
2026-02-06,12:15,식비,중국집,9000,체크카드,점심 중국집
2026-02-05,19:00,문화생활,콘서트,90000,신용카드,친구와 콘서트
2026-02-05,21:00,식비,편의점,4000,체크카드,야식 라면
2026-02-04,10:30,쇼핑,서점,25000,신용카드,소설책 구매
2026-02-04,15:00,기타,병원,30000,체크카드,피부과 진료
2026-02-03,07:00,교통,버스,1400,신용카드,출근 버스
2026-02-03,12:00,식비,한정식,15000,체크카드,점심 한정식
2026-02-02,19:00,식비,양꼬치,40000,신용카드,저녁 외식
2026-02-02,21:30,문화생활,볼링장,15000,체크카드,볼링 게임
2026-02-01,10:00,쇼핑,마트,60000,신용카드,주간 식료품
2026-02-01,15:00,기타,주차요금,4000,체크카드,쇼핑몰 주차
2026-01-31,08:30,교통,지하철,1350,신용카드,출근 지하철
2026-01-31,12:40,식비,돈까스,10000,체크카드,점심 돈까스
2026-01-30,19:20,식비,이자카야,50000,신용카드,친구와 한잔
2026-01-30,21:00,문화생활,VR카페,20000,체크카드,VR 체험
2026-01-29,11:00,쇼핑,옷가게,70000,신용카드,바지 구매
2026-01-29,16:30,기타,공과금,80000,체크카드,전기세 납부
2026-01-28,07:15,교통,버스,1400,신용카드,출근 버스
2026-01-28,12:10,식비,냉면집,9000,체크카드,점심 냉면
2026-01-27,18:00,식비,포차,30000,신용카드,퇴근 후 한잔
2026-01-27,20:30,문화생활,방탈출카페,25000,체크카드,친구들과 모임
2026-01-26,09:00,통신,SKT,65000,신용카드,휴대폰 요금
2026-01-26,14:30,식비,카페,5500,체크카드,디저트 구매
2026-01-25,08:50,교통,택시,10000,신용카드,급한 미팅
2026-01-25,12:50,식비,뷔페,20000,체크카드,점심 뷔페
2026-01-24,17:00,쇼핑,온라인몰,90000,신용카드,가전제품 구매
2026-01-24,19:00,기타,관리비,150000,체크카드,아파트 관리비
2026-01-23,08:00,교통,지하철,1350,신용카드,출근 지하철
2026-01-23,12:00,식비,도시락,7000,체크카드,점심 도시락
2026-01-22,19:30,문화생활,공연,60000,신용카드,뮤지컬 관람
2026-01-22,21:00,식비,편의점,2500,체크카드,간단한 간식
2026-01-21,10:00,교통,주유소,55000,신용카드,장거리 주유
2026-01-21,15:00,쇼핑,잡화점,10000,체크카드,선물 구매
2026-01-20,17:00,식비,카페,4000,신용카드,퇴근길 음료
2026-01-20,20:00,기타,주차요금,2000,체크카드,주차장 이용
2026-01-19,08:15,교통,버스,1400,신용카드,출근 버스
